country,product_gmid,unified_price,resale_price,tender_price,supply_price
CI,268012,0,0,0,0
CI,268013,0,0,0,0
CI,268014,0,0,0,0
CI,268015,0,0,0,0
CI,307013,0,0,0,0
CI,321233,0,0,0,0
CI,475982,0,0,0,0
CI,475871,0,0,0,0
CI,475875,0,0,0,0
CI,196680,0,0,0,0
CI,196681,0,0,0,0
CI,281498,0,0,0,0
CI,298801,0,0,0,0
CI,281499,0,0,0,0
CI,281500,0,0,0,0
CI,354883,0,0,0,0
CI,475991,0,0,0,0
CI,636858,0,0,0,0
CI,551042,0,0,0,0
CI,551043,0,0,0,0
CI,247831,0,0,0,0
CI,247832,0,0,0,0
CI,628074,0,0,0,0
CI,554523,0,0,0,0
CI,323487,0,0,0,0
CI,298682,0,0,0,0
CI,320343,0,0,0,0
CI,320344,0,0,0,0
CI,305481,0,0,0,0
CI,305479,0,0,0,0
CI,630791,0,0,0,0
CI,624625,0,0,0,0
CI,630763,0,0,0,0
CI,625765,0,0,0,0
CI,625767,0,0,0,0
CI,240939,0,0,0,0
CI,611732,0,0,0,0
CI,627331,0,0,0,0
CI,627329,0,0,0,0
CI,627332,0,0,0,0
CI,627328,0,0,0,0
CI,624480,0,0,0,0
CI,627314,0,0,0,0
CI,627327,0,0,0,0
CI,626997,0,0,0,0
CI,627326,0,0,0,0
CI,626630,0,0,0,0
CI,292037,0,0,0,0
CI,627330,0,0,0,0
CI,624479,0,0,0,0
CI,626998,0,0,0,0
CI,627160,0,0,0,0
CI,528888,0,0,0,0
CI,592593,0,0,0,0
CI,671538,0,0,0,0
CI,541078,0,0,0,0
CI,224938,0,0,0,0
CI,664051,0,0,0,0
CI,67933,0,0,0,0
CI,678014,0,0,0,0
CI,642941,0,0,0,0
CI,476956,0,0,0,0
CI,476963,0,0,0,0
CI,476955,0,0,0,0
CI,476957,0,0,0,0
CI,476954,0,0,0,0
CI,665371,0,0,0,0
CI,285368,0,0,0,0
CI,476933,0,0,0,0
CI,625681,0,0,0,0
CI,518938,0,0,0,0
CI,311168,0,0,0,0
CI,311166,0,0,0,0
CI,293665,0,0,0,0
CI,239907,0,0,0,0
CI,292174,0,0,0,0
CI,436433,0,0,0,0
CI,214082,0,0,0,0
CI,346666,0,0,0,0
CI,245296,0,0,0,0
CI,592685,0,0,0,0
CI,592684,0,0,0,0
CI,476712,0,0,0,0
CI,289137,0,0,0,0
CI,289138,0,0,0,0
CI,287552,0,0,0,0
CI,287550,0,0,0,0
CI,287553,0,0,0,0
CI,592705,0,0,0,0
CI,609071,0,0,0,0
CI,671597,0,0,0,0
CI,264980,0,0,0,0
CI,311122,0,0,0,0
CI,632425,0,0,0,0
CI,298689,0,0,0,0
CI,374872,0,0,0,0
CI,298691,0,0,0,0
CI,298693,0,0,0,0
CI,628390,0,0,0,0
CI,628389,0,0,0,0
CI,628391,0,0,0,0
CI,639164,0,0,0,0
CI,540717,0,0,0,0
CI,172136,0,0,0,0
CI,671609,0,0,0,0
CI,639608,0,0,0,0
CI,624622,0,0,0,0
CI,571696,0,0,0,0
CI,187750,0,0,0,0
CI,187747,0,0,0,0
CI,479387,0,0,0,0
CI,479530,0,0,0,0
CI,323470,0,0,0,0
CI,323473,0,0,0,0
CI,355560,0,0,0,0
CI,408003,0,0,0,0
CI,624775,0,0,0,0
CI,624774,0,0,0,0
CI,298698,0,0,0,0
CI,636827,0,0,0,0
CI,298711,0,0,0,0
CI,39171,0,0,0,0
CI,310637,0,0,0,0
CI,413689,0,0,0,0
CI,414074,0,0,0,0
CI,671637,0,0,0,0
CI,671639,0,0,0,0
CI,269069,0,0,0,0
CI,489540,0,0,0,0
CI,489541,0,0,0,0
CI,666655,0,0,0,0
CI,679231,0,0,0,0
CI,666654,0,0,0,0
CI,646799,0,0,0,0
CI,627667,0,0,0,0
CI,627060,0,0,0,0
CI,627061,0,0,0,0
CI,627062,0,0,0,0
CI,168279,0,0,0,0
CI,612011,0,0,0,0
CI,633072,0,0,0,0
CI,476947,0,0,0,0
CI,306216,0,0,0,0
CI,306217,0,0,0,0
CI,306218,0,0,0,0
CI,306219,0,0,0,0
CI,477825,0,0,0,0
CI,624773,0,0,0,0
CI,666653,0,0,0,0
CI,635403,0,0,0,0
CI,662889,0,0,0,0
CI,663982,0,0,0,0
CI,663983,0,0,0,0
CI,663984,0,0,0,0
CI,663985,0,0,0,0
CI,663986,0,0,0,0
CI,663981,0,0,0,0
CI,663996,0,0,0,0
CI,663995,0,0,0,0
CI,663998,0,0,0,0
CI,663992,0,0,0,0
CI,639628,0,0,0,0
CI,671212,0,0,0,0
CI,516219,0,0,0,0
CI,539185,0,0,0,0
CI,539183,0,0,0,0
CI,539181,0,0,0,0
CI,539182,0,0,0,0
CI,405018,0,0,0,0
CI,405039,0,0,0,0
CI,405069,0,0,0,0
CI,291024,0,0,0,0
CI,222428,0,0,0,0
CI,694156,0,0,0,0
CI,545747,0,0,0,0
CI,663987,0,0,0,0
CI,554510,0,0,0,0
CI,646872,0,0,0,0
CI,297260,0,0,0,0
CI,671563,0,0,0,0
CI,671568,0,0,0,0
CI,698117,0,0,0,0
CI,679090,0,0,0,0
CI,698115,0,0,0,0
CI,684820,0,0,0,0
CI,224948,0,0,0,0
CI,476714,0,0,0,0
CI,626499,0,0,0,0
CI,241634,0,0,0,0
CI,636825,0,0,0,0
CI,650737,0,0,0,0
CI,663988,0,0,0,0
CI,475652,0,0,0,0
CI,475862,0,0,0,0
CI,475987,0,0,0,0
CI,475988,0,0,0,0
CI,476664,0,0,0,0
CI,476624,0,0,0,0
