country,product_gmid,unified_price,resale_price,tender_price,supply_price
MZ,516219,0,0,0,0
MZ,268012,0,0,0,0
MZ,268013,0,0,0,0
MZ,268014,0,0,0,0
MZ,268015,0,0,0,0
MZ,261604,0,0,0,0
MZ,494156,0,0,0,0
MZ,261605,0,0,0,0
MZ,261610,0,0,0,0
MZ,475649,0,0,0,0
MZ,307013,0,0,0,0
MZ,321233,0,0,0,0
MZ,645820,0,0,0,0
MZ,645818,0,0,0,0
MZ,645819,0,0,0,0
MZ,632896,0,0,0,0
MZ,475652,0,0,0,0
MZ,475862,0,0,0,0
MZ,475982,0,0,0,0
MZ,475871,0,0,0,0
MZ,475875,0,0,0,0
MZ,380567,0,0,0,0
MZ,684820,0,0,0,0
MZ,539185,0,0,0,0
MZ,539183,0,0,0,0
MZ,539181,0,0,0,0
MZ,539182,0,0,0,0
MZ,196680,0,0,0,0
MZ,196681,0,0,0,0
MZ,663419,0,0,0,0
MZ,281498,0,0,0,0
MZ,281499,0,0,0,0
MZ,281500,0,0,0,0
MZ,298801,0,0,0,0
MZ,354883,0,0,0,0
MZ,651772,0,0,0,0
MZ,475987,0,0,0,0
MZ,476931,0,0,0,0
MZ,475991,0,0,0,0
MZ,475988,0,0,0,0
MZ,352016,0,0,0,0
MZ,679090,0,0,0,0
MZ,475994,0,0,0,0
MZ,476949,0,0,0,0
MZ,476950,0,0,0,0
MZ,346667,0,0,0,0
MZ,654229,0,0,0,0
MZ,651891,0,0,0,0
MZ,476959,0,0,0,0
MZ,476938,0,0,0,0
MZ,476936,0,0,0,0
MZ,652574,0,0,0,0
MZ,653030,0,0,0,0
MZ,651969,0,0,0,0
MZ,551042,0,0,0,0
MZ,551043,0,0,0,0
MZ,628074,0,0,0,0
MZ,668290,0,0,0,0
MZ,245298,0,0,0,0
MZ,554510,0,0,0,0
MZ,554523,0,0,0,0
MZ,323487,0,0,0,0
MZ,298682,0,0,0,0
MZ,320343,0,0,0,0
MZ,320344,0,0,0,0
MZ,305481,0,0,0,0
MZ,141662,0,0,0,0
MZ,305479,0,0,0,0
MZ,371243,0,0,0,0
MZ,624625,0,0,0,0
MZ,625767,0,0,0,0
MZ,630763,0,0,0,0
MZ,625765,0,0,0,0
MZ,630791,0,0,0,0
MZ,487907,0,0,0,0
MZ,240939,0,0,0,0
MZ,611732,0,0,0,0
MZ,663982,0,0,0,0
MZ,624480,0,0,0,0
MZ,627331,0,0,0,0
MZ,443925,0,0,0,0
MZ,627329,0,0,0,0
MZ,627332,0,0,0,0
MZ,627328,0,0,0,0
MZ,663981,0,0,0,0
MZ,663988,0,0,0,0
MZ,627314,0,0,0,0
MZ,627327,0,0,0,0
MZ,626997,0,0,0,0
MZ,627326,0,0,0,0
MZ,663983,0,0,0,0
MZ,624479,0,0,0,0
MZ,627330,0,0,0,0
MZ,626630,0,0,0,0
MZ,324267,0,0,0,0
MZ,627160,0,0,0,0
MZ,693896,0,0,0,0
MZ,476664,0,0,0,0
MZ,370351,0,0,0,0
MZ,528888,0,0,0,0
MZ,502299,0,0,0,0
MZ,641849,0,0,0,0
MZ,643215,0,0,0,0
MZ,643216,0,0,0,0
MZ,642931,0,0,0,0
MZ,592593,0,0,0,0
MZ,671538,0,0,0,0
MZ,224938,0,0,0,0
MZ,541078,0,0,0,0
MZ,664051,0,0,0,0
MZ,664047,0,0,0,0
MZ,645815,0,0,0,0
MZ,67294,0,0,0,0
MZ,354890,0,0,0,0
MZ,663984,0,0,0,0
MZ,645817,0,0,0,0
MZ,663985,0,0,0,0
MZ,342280,0,0,0,0
MZ,476963,0,0,0,0
MZ,476043,0,0,0,0
MZ,476006,0,0,0,0
MZ,476956,0,0,0,0
MZ,476009,0,0,0,0
MZ,476955,0,0,0,0
MZ,477034,0,0,0,0
MZ,477015,0,0,0,0
MZ,476954,0,0,0,0
MZ,476957,0,0,0,0
