mercafa_gmid,Movement Code,quantity,Discount,Customer,Country,Distributor
624774,,504,,ECOFARMA,SN,MARCAFA
624774,,334,,"BIOLS-PHARMACEUTICALS, UNIP., LDA.",SN,MARCAFA
