GMID,movement_code,Quantity,discount,Customer Name,Country,Distributor
261605,SA,33,,DUGDA AGRO INDUSTRY PRIVATE LIMITED,ET,EPDIS
261605,SA,303,,DUGDA AGRO INDUSTRY PRIVATE LIMITED,ET,EPDIS
261605,SA,151,,DUGDA AGRO INDUSTRY PRIVATE LIMITED,ET,EPDIS
