GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
615902,VE,560,,SI,EPDIS,FR
615902,VE,480,,SI,EPDIS,FR
554510,VE,216,,SI,EPDIS,FR
645818,VE,1260,,SI,EPDIS,FR
645818,VE,900,,SI,EPDIS,FR
645818,VE,7,,SI,EPDIS,FR
645818,VE,173,,SI,EPDIS,FR
645818,VE,60,,SI,EPDIS,FR
645819,VE,60,,SI,EPDIS,FR
645819,VE,180,,SI,EPDIS,FR
539182,VE,46,,SI,EPDIS,FR
539182,VE,4,,SI,EPDIS,FR
475987,VE,720,,SI,EPDIS,FR
476963,VE,966,,SI,EPDIS,FR
476963,VE,34,,SI,EPDIS,FR
370351,VE,20,,SI,EPDIS,FR
407096,VE,10,,SI,EPDIS,FR
626630,VE,960,,SI,EPDIS,FR
626630,VE,120,,SI,EPDIS,FR
626630,VE,110,,SI,EPDIS,FR
626630,VE,10,,SI,EPDIS,FR
671568,VE,490,,SI,EPDIS,FR
671568,VE,980,,SI,EPDIS,FR
671568,VE,15,,SI,EPDIS,FR
671568,VE,20,,SI,EPDIS,FR
285368,VE,20,,SI,EPDIS,FR
285368,VE,10,,SI,EPDIS,FR
626998,VE,56,,SI,EPDIS,FR
626998,VE,64,,SI,EPDIS,FR
626998,VE,71,,SI,EPDIS,FR
626998,VE,42,,SI,EPDIS,FR
626998,VE,840,,SI,EPDIS,FR
626998,VE,120,,SI,EPDIS,FR
626998,VE,240,,SI,EPDIS,FR
626998,VE,7,,SI,EPDIS,FR
626998,VE,360,,SI,EPDIS,FR
285368,VE,30,,SI,EPDIS,FR
626630,VE,360,,SI,EPDIS,FR
626630,VE,360,,SI,EPDIS,FR
626630,VE,10,,SI,EPDIS,FR
626630,VE,110,,SI,EPDIS,FR
671538,VE,20,,SI,EPDIS,FR
626630,VE,120,,SI,EPDIS,FR
626630,VE,120,,SI,EPDIS,FR
626998,VE,120,,SI,EPDIS,FR
626998,VE,120,,SI,EPDIS,FR
626998,VE,80,,SI,EPDIS,FR
285368,VE,40,,SI,EPDIS,FR
626630,VE,480,,SI,EPDIS,FR
626630,VE,76,,SI,EPDIS,FR
626630,VE,44,,SI,EPDIS,FR
626630,VE,600,,SI,EPDIS,FR
285368,VE,10,,SI,EPDIS,FR
285368,VE,50,,SI,EPDIS,FR
285368,VE,95,,SI,EPDIS,FR
285368,VE,10,,SI,EPDIS,FR
323473,VE,2184,,SI,EPDIS,FR
323473,VE,2184,,SI,EPDIS,FR
323473,VE,2184,,SI,EPDIS,FR
323473,VE,2064,,SI,EPDIS,FR
323473,VE,2184,,SI,EPDIS,FR
323473,VE,2184,,SI,EPDIS,FR
323473,VE,192,,SI,EPDIS,FR
323473,VE,6,,SI,EPDIS,FR
323473,VE,18,,SI,EPDIS,FR
323473,VE,1200,,SI,EPDIS,FR
