GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
636858,VE,16000,,SI,EPDIS,FR
639164,VE,53723,,SI,EPDIS,FR
639628,VE,1110,,SI,EPDIS,FR
641849,VE,16504,,SI,EPDIS,FR
643215,VE,560,,SI,EPDIS,FR
645815,VE,5887,,SI,EPDIS,FR
645818,VE,360,,SI,EPDIS,FR
662889,VE,24955,,SI,EPDIS,FR
663419,VE,4850,,SI,EPDIS,FR
663984,VE,75196,,SI,EPDIS,FR
663985,VE,107175,,SI,EPDIS,FR
663986,VE,75000,,SI,EPDIS,FR
663987,VE,5463,,SI,EPDIS,FR
665371,VE,1920,,SI,EPDIS,FR
665401,VE,9200,,SI,EPDIS,FR
671637,VE,13961,,SI,EPDIS,FR
678014,RE,-47521,,SI,EPDIS,FR
678014,VE,150751,,SI,EPDIS,FR
684820,VE,3294,,SI,EPDIS,FR
694156,VE,1350,,SI,EPDIS,FR
Div Rx 1,RE,0,-8734,SI,EPDIS,FR
Div Rx 1,VE,0,-713239,SI,EPDIS,FR
263703,PD,1602,,SI,EPDIS,FR
268014,PD,2000,,SI,EPDIS,FR
285368,PD,160,,SI,EPDIS,FR
298698,PD,600,,SI,EPDIS,FR
298709,PD,160,,SI,EPDIS,FR
305481,PD,4962,,SI,EPDIS,FR
306219,PD,900,,SI,EPDIS,FR
320344,PD,542,,SI,EPDIS,FR
370351,PD,3552,,SI,EPDIS,FR
502299,PD,11032,,SI,EPDIS,FR
551043,PD,1360,,SI,EPDIS,FR
592989,PD,40,,SI,EPDIS,FR
612011,PD,290,,SI,EPDIS,FR
627060,PD,124,,SI,EPDIS,FR
628390,PD,618,,SI,EPDIS,FR
628391,PD,718,,SI,EPDIS,FR
663996,PD,24,,SI,EPDIS,FR
475652,VE,216,,SI,EPDIS,FR
475871,VE,4800,,SI,EPDIS,FR
475875,VE,2362,,SI,EPDIS,FR
475988,VE,1656,,SI,EPDIS,FR
476043,VE,6565,,SI,EPDIS,FR
476664,VE,29160,,SI,EPDIS,FR
476956,VE,24950,,SI,EPDIS,FR
476963,VE,31604,,SI,EPDIS,FR
475652,PD,1644,,SI,EPDIS,FR
475988,PD,248,,SI,EPDIS,FR
476957,PD,400,,SI,EPDIS,FR
13196,VE,0,,SI,EPDIS,AO
14820,VE,0,,SI,EPDIS,AO
14901,VE,0,,SI,EPDIS,AO
158893,VE,0,,SI,EPDIS,AO
159086,VE,0,,SI,EPDIS,AO
188840,VE,0,,SI,EPDIS,AO
191379,VE,0,,SI,EPDIS,AO
191391,VE,0,,SI,EPDIS,AO
192750,VE,0,,SI,EPDIS,AO
192775,VE,0,,SI,EPDIS,AO
195146,VE,0,,SI,EPDIS,AO
227380,VE,0,,SI,EPDIS,AO
250545,VE,0,,SI,EPDIS,AO
272773,VE,0,,SI,EPDIS,AO
278343,VE,0,,SI,EPDIS,AO
293791,VE,0,,SI,EPDIS,AO
29585,VE,0,,SI,EPDIS,AO
29612,VE,0,,SI,EPDIS,AO
29649,VE,0,,SI,EPDIS,AO
298191,VE,0,,SI,EPDIS,AO
316433,VE,0,,SI,EPDIS,AO
328151,VE,0,,SI,EPDIS,AO
328213,VE,0,,SI,EPDIS,AO
328216,VE,0,,SI,EPDIS,AO
328226,VE,0,,SI,EPDIS,AO
328228,VE,0,,SI,EPDIS,AO
329051,VE,0,,SI,EPDIS,AO
332328,VE,0,,SI,EPDIS,AO
365768,VE,0,,SI,EPDIS,AO
365770,VE,0,,SI,EPDIS,AO
389142,VE,0,,SI,EPDIS,AO
389144,VE,0,,SI,EPDIS,AO
389146,VE,0,,SI,EPDIS,AO
421873,VE,0,,SI,EPDIS,AO
425957,VE,0,,SI,EPDIS,AO
510643,VE,0,,SI,EPDIS,AO
511293,VE,0,,SI,EPDIS,AO
515284,VE,0,,SI,EPDIS,AO
519330,VE,0,,SI,EPDIS,AO
529654,VE,0,,SI,EPDIS,AO
539414,VE,0,,SI,EPDIS,AO
544575,VE,0,,SI,EPDIS,AO
544576,VE,0,,SI,EPDIS,AO
58604,VE,0,,SI,EPDIS,AO
592475,VE,0,,SI,EPDIS,AO
592504,VE,0,,SI,EPDIS,AO
592560,VE,0,,SI,EPDIS,AO
592632,VE,0,,SI,EPDIS,AO
592735,VE,0,,SI,EPDIS,AO
592781,VE,0,,SI,EPDIS,AO
592782,VE,0,,SI,EPDIS,AO
592806,VE,0,,SI,EPDIS,AO
600314,VE,0,,SI,EPDIS,AO
600315,VE,0,,SI,EPDIS,AO
611613,VE,0,,SI,EPDIS,AO
611618,VE,0,,SI,EPDIS,AO
611633,VE,0,,SI,EPDIS,AO
611635,VE,0,,SI,EPDIS,AO
611636,VE,0,,SI,EPDIS,AO
13196,VE,300,,SI,EPDIS,PT
158893,VE,200,,SI,EPDIS,PT
159086,VE,1500,,SI,EPDIS,PT
191379,VE,0,,SI,EPDIS,PT
192775,VE,0,,SI,EPDIS,PT
227380,VE,3000,,SI,EPDIS,PT
250545,VE,300,,SI,EPDIS,PT
272773,VE,3000,,SI,EPDIS,PT
293791,VE,3200,,SI,EPDIS,PT
29585,VE,500,,SI,EPDIS,PT
29649,VE,300,,SI,EPDIS,PT
328151,VE,0,,SI,EPDIS,PT
328213,VE,0,,SI,EPDIS,PT
328226,VE,0,,SI,EPDIS,PT
328228,VE,0,,SI,EPDIS,PT
329051,VE,500,,SI,EPDIS,PT
365768,VE,500,,SI,EPDIS,PT
365770,VE,300,,SI,EPDIS,PT
389142,VE,1200,,SI,EPDIS,PT
389144,VE,200,,SI,EPDIS,PT
389146,VE,0,,SI,EPDIS,PT
510643,VE,300,,SI,EPDIS,PT
515284,VE,150,,SI,EPDIS,PT
519330,VE,60,,SI,EPDIS,PT
529654,RE,-2,,SI,EPDIS,PT
529654,VE,0,,SI,EPDIS,PT
539414,VE,785,,SI,EPDIS,PT
544576,VE,250,,SI,EPDIS,PT
58604,VE,1500,,SI,EPDIS,PT
592504,VE,0,,SI,EPDIS,PT
592560,VE,0,,SI,EPDIS,PT
592632,VE,300,,SI,EPDIS,PT
592735,VE,4000,,SI,EPDIS,PT
592782,VE,500,,SI,EPDIS,PT
592806,VE,0,,SI,EPDIS,PT
600315,VE,1500,,SI,EPDIS,PT
611613,VE,500,,SI,EPDIS,PT
611618,VE,2000,,SI,EPDIS,PT
611633,VE,1200,,SI,EPDIS,PT
611635,VE,1000,,SI,EPDIS,PT
611636,RE,-5,,SI,EPDIS,PT
611636,VE,250,,SI,EPDIS,PT
627667,GR,50,,SI,EPDIS,BF
475871,GR,-25,,SI,EPDIS,BF
196680,VE,0,,SI,EPDIS,BF
247831,VE,0,,SI,EPDIS,BF
268013,VE,0,,SI,EPDIS,BF
268014,VE,0,,SI,EPDIS,BF
Div Rx 4,EC,0,0,SI,EPDIS,CM
516219,VE,0,,SI,EPDIS,CM
264433,VE,0,,SI,EPDIS,CM
