GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
168279,VE,9457,,SI,EPDIS,FR
172136,VE,500,,SI,EPDIS,FR
240939,VE,1913,,SI,EPDIS,FR
263980,VE,1838,,SI,EPDIS,FR
264980,VE,24540,,SI,EPDIS,FR
268013,VE,300,,SI,EPDIS,FR
268014,VE,4500,,SI,EPDIS,FR
293665,VE,6000,,SI,EPDIS,FR
298682,VE,49660,,SI,EPDIS,FR
298689,VE,9554,,SI,EPDIS,FR
298691,VE,11986,,SI,EPDIS,FR
298693,VE,11998,,SI,EPDIS,FR
298711,VE,15680,,SI,EPDIS,FR
305479,VE,27940,,SI,EPDIS,FR
305481,VE,12000,,SI,EPDIS,FR
305928,VE,320,,SI,EPDIS,FR
306217,VE,34693,,SI,EPDIS,FR
306220,VE,1398,,SI,EPDIS,FR
306222,VE,23944,,SI,EPDIS,FR
306226,VE,14958,,SI,EPDIS,FR
306632,VE,144,,SI,EPDIS,FR
307013,VE,18940,,SI,EPDIS,FR
311122,VE,6400,,SI,EPDIS,FR
320343,VE,12240,,SI,EPDIS,FR
320344,VE,1800,,SI,EPDIS,FR
321233,VE,1000,,SI,EPDIS,FR
323487,VE,58310,,SI,EPDIS,FR
354883,VE,71856,,SI,EPDIS,FR
355496,VE,10150,,SI,EPDIS,FR
371014,VE,160,,SI,EPDIS,FR
374872,VE,16129,,SI,EPDIS,FR
408003,VE,5400,,SI,EPDIS,FR
414074,VE,160,,SI,EPDIS,FR
415360,VE,120,,SI,EPDIS,FR
518946,VE,22777,,SI,EPDIS,FR
539181,VE,2246,,SI,EPDIS,FR
539182,VE,936,,SI,EPDIS,FR
539183,VE,1170,,SI,EPDIS,FR
541078,VE,4770,,SI,EPDIS,FR
551043,VE,29825,,SI,EPDIS,FR
571696,VE,3973,,SI,EPDIS,FR
592231,VE,1920,,SI,EPDIS,FR
592705,VE,54714,,SI,EPDIS,FR
609071,VE,194551,,SI,EPDIS,FR
611732,VE,2688,,SI,EPDIS,FR
612011,VE,480,,SI,EPDIS,FR
615902,VE,1400,,SI,EPDIS,FR
615926,VE,320,,SI,EPDIS,FR
624625,VE,89128,,SI,EPDIS,FR
624774,VE,44836,,SI,EPDIS,FR
624775,VE,5920,,SI,EPDIS,FR
625681,VE,6364,,SI,EPDIS,FR
625767,VE,13692,,SI,EPDIS,FR
627667,VE,3780,,SI,EPDIS,FR
628389,VE,51270,,SI,EPDIS,FR
628390,VE,10425,,SI,EPDIS,FR
628391,VE,58430,,SI,EPDIS,FR
630791,VE,24674,,SI,EPDIS,FR
636825,VE,5900,,SI,EPDIS,FR
636827,VE,25000,,SI,EPDIS,FR
