Mercafar_GMID,Quantity,Expiry
5251582,286,
5251582,106,
5064431,200,
2553188,32,
2553188,472,
2553485,100,
8520825,4221,
8520825,2184,
8520825,2518,
8520817,1850,
8520809,10,
8520809,830,
2806289,459,
2806289,1213,
8468009,190,
2282283,5,
8270173,2452,
8270173,406,
8270173,1094,
8270173,2658,
9729400,8,
9729400,200,
5169578,245,
5169578,60,
5169602,643,
5169602,192,
4389086,327,
4590287,50,
8782516,45,
9241307,648,
4580684,93,
9905604,177,
9905604,123,
9905604,2197,
9905604,156,
9905604,956,
9905604,392,
2850881,389,
5354105,10,
5354105,290,
5354105,165,
2851889,340,
2851889,50,
2851889,540,
5354055,1714,
2850386,630,
2850386,32,
2850386,1338,
3885985,318,
3271780,220,
5064571,130,
5064571,10,
5064571,10,
5064571,1123,
5064571,780,
8113845,69,
8113837,750,
8113704,45,
8113704,339,
8113704,104,
9434126,490,
2046688,101,
2529683,279,
2529683,279,
2529782,100,
2529782,275,
2842185,240,
3136587,104,
3136280,105,
2308682,50,
2308682,120,
2308682,618,
2046787,100,
2046787,50,
2046787,249,
2046787,1623,
2046787,381,
2308781,1084,
2308781,922,
2308781,158,
2529584,1615,
2841781,515,
2841781,350,
2841989,1711,
2841989,500,
5490578,197,
5490578,2283,
5490578,72,
5490578,288,
9412809,180,
9412809,17,
9412809,424,
9412809,90,
9412908,4085,
9412908,1072,
9412908,1379,
6673483,100,
6673483,97,
9329714,37,
5413240,500,
5413240,300,
5413240,3,
5413240,504,
9224931,1167,
9679712,976,
9679720,945,
9679720,60,
5593322,100,
9295436,2000,
9295436,1,
9295436,4578,
9295436,1162,
2733285,100,
2733285,54,
2733285,150,
9618801,880,
9138230,6,
9138230,11,
9138230,200,
9138222,2498,
9138222,503,
9138222,210,
9662502,312,
9662502,500,
9662502,221,
9662502,545,
5594452,38,
5594452,990,
5593108,90,
8181602,15,
8181602,80,
8250704,20,
8250704,167,
8250704,208,
8250704,100,
8250704,360,
8193417,285,
8193516,443,
8696641,154,
8768812,194,
8768812,86,
5349964,110,
2595189,100,
5842497,50,
5842497,100,
5842398,157,
5842398,93,
4600284,50,
4600284,970,
4600284,514,
4600284,1796,
4586491,99,
4586491,120,
4974986,200,
4974986,133,
4974986,287,
