GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
306225,VE,,-6549,SI,LABOREX KENYA LTD,KE
247831,RE,,-30.8,SI,LABOREX KENYA LTD,KE
172136,VE,,-931.1,SI,E.P.DIS,FR
306222,VE,,-155,SI,E.P.DIS,FR
Div Rx 1,VE,,-215683,SI,E.P.DIS,FR
