GMID,movement code,Quantity,SCENARIO,CUSTOMER
626630,VE,360,SI,EPDIS
626630,VE,360,SI,EPDIS
626630,VE,10,SI,EPDIS
626630,VE,110,SI,EPDIS
671538,VE,20,SI,EPDIS
626630,VE,120,SI,EPDIS
626630,VE,120,SI,EPDIS
626998,VE,120,SI,EPDIS
626998,VE,120,SI,EPDIS
626998,VE,80,SI,EPDIS
285368,VE,40,SI,EPDIS
626630,VE,480,SI,EPDIS
626630,VE,76,SI,EPDIS
626630,VE,44,SI,EPDIS
626630,VE,600,SI,EPDIS
285368,VE,10,SI,EPDIS
285368,VE,50,SI,EPDIS
285368,VE,95,SI,EPDIS
285368,VE,10,SI,EPDIS
323473,VE,2184,SI,EPDIS
323473,VE,2184,SI,EPDIS
323473,VE,2184,SI,EPDIS
323473,VE,2064,SI,EPDIS
323473,VE,2184,SI,EPDIS
323473,VE,2184,SI,EPDIS
323473,VE,192,SI,EPDIS
323473,VE,6,SI,EPDIS
323473,VE,18,SI,EPDIS
323473,VE,1200,SI,EPDIS
