country,product_gmid,unified_price,resale_price,tender_price,supply_price,promotion
ST,436427, 3.36 ,,, 2.4320   ,
ST,192768, 3.45 ,,, 2.9498   ,
ST,335666, 7.19 ,,, 6.1475   ,
ST,480578, 4.68 ,,, 3.4884   ,
ST,511532, 4.88 ,,, 3.7088   ,
ST,190071, 4.88 ,,, 3.7088   ,
ST,411383, 4.57 ,,, 3.3060   ,
ST,196179, 4.56 ,,, 3.1811   ,
ST,192637, 4.30 ,,, 3.0723   ,
ST,192636, 4.30 ,,, 3.0723   ,
ST,569252, 5.00 ,,, 3.7100   ,
ST,188850, 1.40 ,,, 1.0640   ,
ST,592735, 11.95 ,,, 10.2173   ,
ST,421873, 26.23 ,,, 22.4267   ,
ST,592782, 1.47 ,,, 1.2569   ,
ST,592781, 3.40 ,,, 2.9070   ,
ST,592778, 1.31 ,,, 1.2400   ,
ST,316979, 4.60 ,,, 3.4960   ,
ST,544575, 5.06 ,,, 4.3263   ,
ST,592806, 3.29 ,,, 2.8130   ,
ST,544576, 5.03 ,,, 4.3007   ,
ST,425957, 143.06 ,,, 122.3163   ,
ST,195146, 15.33 ,,, 13.1072   ,
ST,323076, 4.87 ,,, 3.7012   ,
ST,14820, 2.43 ,,, 1.8468   ,
ST,529654, 15.26 ,,, 11.5976   ,
ST,14901, 3.20 ,,, 3.0432   ,
ST,13196, 25.46 ,,, 21.7683   ,
ST,480201, 3.70 ,,, 2.6921   ,
ST,537710, 3.40 ,,, 3.3420   ,
ST,365768, 3.13 ,,, 2.6762   ,
ST,365770, 2.46 ,,, 2.1033   ,
ST,539414, 4.36 ,,, 3.7278   ,
ST,192750, 6.75 ,,, 6.7450   ,
CV,158893, 16.15 ,,, 13.8083   ,
CV,159086, 24.24 ,,, 20.7252   ,
CV,293791, 27.51 ,,, 20.9076   ,
CV,191391, 7.87 ,,, 8.1539   ,
CV,191379, 11.54 ,,, 11.9729   ,
CV,190104, 1.13 ,,, 0.9662   ,
CV,190107, 2.94 ,,, 2.5137   ,
CV,190106, 1.76 ,,, 1.6720   ,
CV,515284, 7.06 ,,, 6.3812   ,
CV,316433, 6.05 ,,, 5.1728   ,
CV,250545, 8.56 ,,, 7.3188   ,
CV,592475, 3.19 ,,, 3.0305   ,
CV,332328, 7.65 ,,, 6.8850   ,
CV,592504, 141.44 ,,, 127.2960   ,
CV,227380, 3.40 ,,, 2.9070   ,
CV,511293, 5.40 ,,, 4.6170   ,
CV,510643, 8.98 ,,, 7.6779   ,
CV,188840, 3.40 ,,, 2.9070   ,
CV,188841, 3.50 ,,, 2.9925   ,
CV,272453, 6.85 ,,, 5.2060   ,
CV,519330, 15.55 ,,, 13.2953   ,
CV,192775, 3.40 ,,, 3.0759   ,
CV,592560, 3.56 ,,, 3.0438   ,
CV,278343, 1.61 ,,, 1.3766   ,
CV,29585, 21.06 ,,, 19.9236   ,
CV,389144, 22.33 ,,, 20.1823   ,
CV,29649, 21.07 ,,, 17.0140   ,
CV,389146, 22.33 ,,, 18.0315   ,
CV,29612, 20.37 ,,, 16.4488   ,
CV,389142, 20.37 ,,, 16.4488   ,
CV,298191, 28.00 ,,, 23.9400   ,
CV,58604, 41.99 ,,, 35.9015   ,
CV,272773, 41.99 ,,, 43.1322   ,
CV,592632, 1.33 ,,, 1.1372   ,
CV,600314, 1.68 ,,, 1.4364   ,
CV,600315, 3.40 ,,, 2.9070   ,
CV,329051, 2.98 ,,, 2.6964   ,
CV,328228, 12.96 ,,, 11.0808   ,
CV,611636, 32.88 ,,, 28.1124   ,
CV,296329, 39.14 ,,, 37.1830   ,
CV,296331, 47.42 ,,, 45.0490   ,
CV,328151, 3.40 ,,, 2.9070   ,
CV,611613, 7.93 ,,, 6.7802   ,
CV,328213, 6.10 ,,, 5.2155   ,
CV,611618, 15.56 ,,, 13.3038   ,
CV,328216, 7.78 ,,, 6.6519   ,
CV,611633, 21.43 ,,, 18.3227   ,
CV,328226, 10.36 ,,, 8.8578   ,
CV,611635, 27.07 ,,, 23.1449   ,
CV,436427, 3.36 ,,, 2.5683   ,
CV,192768, 3.45 ,,, 2.9498   ,
CV,335666, 7.19 ,,, 6.1475   ,
CV,480578, 4.68 ,,, 3.4884   ,
CV,511532, 4.88 ,,, 3.7088   ,
CV,190071, 4.88 ,,, 3.7088   ,
CV,411383, 4.57 ,,, 3.3060   ,
CV,196179, 4.56 ,,, 3.1811   ,
CV,192637, 4.30 ,,, 3.0723   ,
CV,192636, 4.30 ,,, 3.0723   ,
CV,569252, 5.00 ,,, 3.7100   ,
CV,188850, 1.40 ,,, 1.0640   ,
CV,592735, 11.95 ,,, 10.2173   ,
CV,421873, 26.23 ,,, 22.4267   ,
CV,592782, 1.47 ,,, 1.2569   ,
CV,592781, 3.40 ,,, 2.9070   ,
CV,592778, 1.31 ,,, 1.2400   ,
CV,316979, 4.60 ,,, 3.4960   ,
CV,544575, 5.06 ,,, 4.3263   ,
CV,592806, 3.29 ,,, 2.5525   ,
CV,544576, 5.03 ,,, 4.3007   ,
CV,425957, 143.06 ,,, 122.3163   ,
CV,195146, 15.33 ,,, 13.1072   ,
CV,323076, 4.87 ,,, 3.7012   ,
CV,14820, 2.43 ,,, 1.8468   ,
CV,529654, 15.26 ,,, 13.8008   ,
CV,14901, 3.20 ,,, 3.0432   ,
CV,13196, 25.46 ,,, 21.7683   ,
CV,480201, 3.70 ,,, 2.6921   ,
CV,537710, 3.40 ,,, 3.3420   ,
CV,365768, 3.13 ,,, 2.6762   ,
CV,365770, 2.46 ,,, 2.1033   ,
CV,539414, 4.36 ,,, 3.6119   ,
CV,192750, 6.75 ,,, 6.7450   ,
GW,158893, 16.15 ,,, 13.8083   ,
GW,159086, 24.24 ,,, 20.7252   ,
GW,293791, 27.51 ,,, 20.9076   ,
GW,191391, 7.87 ,,, 6.7289   ,
GW,191379, 11.54 ,,, 9.8667   ,
GW,190104, 1.13 ,,, 0.9662   ,
GW,190107, 2.94 ,,, 2.5137   ,
GW,190106, 1.76 ,,, 1.6720   ,
GW,515284, 7.06 ,,, 6.3812   ,
GW,316433, 6.05 ,,, 5.1728   ,
GW,250545, 8.56 ,,, 7.3188   ,
GW,592475, 3.19 ,,, 3.0305   ,
GW,332328, 7.65 ,,, 6.8850   ,
