GMID,Quantity,Expiration_Date
626997,25000,2021-03-31
626997,39200,2021-03-31
626997,44137,2021-02-28
626997,48200,2021-02-28
626997,52996,2021-02-28
624479,1,2022-03-31
624479,4,2021-10-31
624479,16,2022-03-31
624479,21089,2022-03-31
624479,21120,2022-03-31
624479,21240,2022-03-31
624479,21480,2022-03-31
624479,21600,2022-03-31
624479,21600,2022-03-31
624479,21840,2022-03-31
624479,21840,2022-03-31
624479,21960,2022-03-31
624479,21960,2022-03-31
624479,22079,2022-03-31
624479,22080,2022-03-31
624479,22080,2022-03-31
624479,22080,2022-03-31
624479,22200,2022-03-31
624479,22200,2022-03-31
624479,22320,2022-03-31
624479,22320,2022-03-31
624479,22440,2022-03-31
624479,22544,2022-03-31
624479,22560,2022-03-31
624479,22680,2022-03-31
624479,22680,2022-03-31
627330,15637,2021-03-31
627160,38463,2021-04-30
626998,5,2020-10-31
626998,13,2020-11-30
626998,130,2020-10-31
626998,5160,2020-11-30
626998,5559,2020-10-31
626998,7067,2020-10-31
626998,7670,2020-11-30
626998,7715,2020-11-30
626998,7717,2020-11-30
626998,7727,2020-10-31
626998,7750,2020-10-31
626998,7771,2020-10-31
626630,1,2021-09-30
626630,1,2021-09-30
626630,1,2021-11-30
626630,2,2021-12-31
626630,3,2021-11-30
476664,11664,2022-01-31
476664,28728,2022-01-31
476664,28872,2022-01-31
476664,28944,2022-01-31
407096,10,2019-10-31
407096,10,2020-07-31
407096,50,2020-05-31
528888,20135,2020-11-30
528888,54504,2020-11-30
641849,11,2021-10-31
641849,5040,2021-12-31
641849,12317,2021-10-31
641849,12503,2021-10-31
641849,15270,2021-10-31
502299,12912,2021-11-30
642931,374,2023-02-28
643216,640,2021-06-30
643216,6128,2021-06-30
643216,6764,2021-07-31
592593,6096,2023-08-31
592593,7725,2023-09-30
592593,13104,2024-01-31
592593,13194,2024-01-31
671538,4,2020-12-31
671538,901,2020-12-31
541078,4535,2022-01-31
224938,11549,2023-10-31
664051,4326,2022-08-31
664051,48000,2022-09-30
664051,51988,2022-09-30
664051,52000,2022-08-31
67933,60,2020-09-30
67933,320,2020-10-31
67933,334,2020-11-30
67933,770,2020-11-30
